route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
2-SQU,3253,2458927:6628452:6631082,Downtown,11257,6631082,0
2-SQU,3132,2460291:6628456:6631135,Downtown,11257,6631135,0
1-SQU,3132,2460259:6628460:6631246,Brackendale,11233,6631246,1
2-SQU,3132,2460333:6628464:6631229,Downtown,11257,6631229,0
2-SQU,2375,2458823:6628465:6631205,Highlands - Via University,25269,6631205,1
9-SQU,3132,2460281:6628469:6631246,University,25287,6631246,1
2-SQU,3201,2460351:6628472:6631170,Highlands - Via University,25269,6631170,1
2-SQU,3211,2460351:6628472:6631235,Highlands - Via University,25269,6631235,1
1-SQU,2375,2458853:6628490:6631072,Downtown,11275,6631072,0
1-SQU,3253,2458882:6628492:6631131,Brackendale,11233,6631131,1
2-SQU,3253,2458885:6628498:6631131,Downtown,11257,6631131,0
4-SQU,3132,2460318:6628509:6631229,Garibaldi,11228,6631229,1
1-SQU,3132,2460301:6628511:6631135,Brackendale,11233,6631135,1
2-SQU,3132,2460245:6628519:6631153,Highlands,11252,6631153,1
1-SQU,3201,2460348:6628532:6631170,Downtown,11275,6631170,0
1-SQU,3211,2460348:6628532:6631235,Downtown,11275,6631235,0
1-SQU,3253,2458918:6628542:6631131,Downtown,11275,6631131,0
9-SQU,3132,2460297:6628549:6631246,University,25287,6631246,1
2-SQU,3253,2458877:6628552:6631082,Downtown,11257,6631082,0
3-SQU,3132,2460243:6628553:6631246,Valleycliffe,11146,6631246,1
1-SQU,2375,2458783:6628568:6631072,Brackendale,11233,6631072,1
3-SQU,2375,2458794:6628579:6631078,Valleycliffe,11146,6631078,1
2-SQU,3253,2458878:6628586:6631169,Highlands - Via University,25269,6631169,1
1-SQU,3253,2458922:6628649:6631169,Brackendale,11233,6631169,1
3-SQU,3253,2458910:6628654:6631169,Valleycliffe,11146,6631169,1
1-SQU,2375,2458848:6628661:6631065,To Garibaldi Vlg,11166,6631065,0
3-SQU,3132,2460358:6628664:6631135,Valleycliffe,11146,6631135,1
2-SQU,3253,2458914:6628673:6631230,Highlands - Via University,25269,6631230,1
2-SQU,3253,2458924:6628681:6631082,Highlands - Via University,25269,6631082,1
2-SQU,3253,2458901:6628690:6631230,Downtown,11257,6631230,0
2-SQU,3132,2460254:6628707:6631055,Highlands,11252,6631055,1
1-SQU,2375,2458844:6628723:6631065,Downtown,11275,6631065,0
1-SQU,3132,2460336:6628733:6631074,Brackendale,11233,6631074,1
1-SQU,3211,2460360:6628740:6631235,To Garibaldi Vlg,11166,6631235,0
9-SQU,3132,2460339:6628766:6631074,Downtown,25288,6631074,0
2-SQU,3132,2460267:6628773:6631135,Highlands,11252,6631135,1
2-SQU,3132,2460349:6628777:6631229,Downtown,11257,6631229,0
2-SQU,3132,2460331:6628780:6631246,Downtown,11257,6631246,0
3-SQU,2375,2458807:6628805:6631058,Valleycliffe,11146,6631058,1
1-SQU,3253,2458923:6628815:6631169,Downtown,11275,6631169,0
1-SQU,3201,2460312:6628817:6631170,Brackendale,11233,6631170,1
1-SQU,3211,2460312:6628817:6631235,Brackendale,11233,6631235,1
4-SQU,3132,2460320:6628850:6631055,Downtown,11328,6631055,0
2-SQU,3132,2460246:6628895:6631153,Downtown,11257,6631153,0
1-SQU,3211,2460359:6628904:6631235,Brackendale,11200,6631235,1
1-SQU,3132,2460231:6628911:6631066,Downtown,11275,6631066,0
9-SQU,3132,2460264:6628923:6631135,Downtown,25288,6631135,0
1-SQU,3201,2460345:6628951:6631170,Downtown,11275,6631170,0
1-SQU,3211,2460345:6628951:6631235,Downtown,11275,6631235,0
2-SQU,3201,2460352:6628995:6631170,Downtown,11257,6631170,0
2-SQU,3211,2460352:6628995:6631235,Downtown,11257,6631235,0
2-SQU,3132,2460303:6629014:6631074,Highlands,11252,6631074,1
1-SQU,3253,2458888:6629018:6631230,Downtown,11275,6631230,0
1-SQU,3253,2458900:6629020:6631169,Brackendale,11233,6631169,1
1-SQU,3132,2460311:6629027:6631135,Downtown,11275,6631135,0
3-SQU,3132,2460256:6629035:6631055,Valleycliffe,11146,6631055,1
9-SQU,3132,2460295:6629042:6631246,Downtown,25288,6631246,0
1-SQU,2375,2458815:6629083:6631058,Brackendale,11233,6631058,1
2-SQU,3253,2458896:6629095:6631169,Highlands - Via University,25269,6631169,1
3-SQU,2375,2458808:6629101:6631205,Valleycliffe,11146,6631205,1
2-SQU,2375,2458824:6629105:6631205,Highlands - Via University,25269,6631205,1
1-SQU,3253,2458920:6629121:6631131,Brackendale,11233,6631131,1
3-SQU,3253,2458928:6629123:6631169,Valleycliffe,11146,6631169,1
2-SQU,3132,2460340:6629124:6631229,Downtown,11257,6631229,0
2-SQU,3211,2460356:6629167:6631235,Garibaldi Vlg,11286,6631235,0
1-SQU,3253,2458886:6629169:6631230,Brackendale,11233,6631230,1
2-SQU,3132,2460273:6629181:6631135,Downtown,11257,6631135,0
1-SQU,2375,2458817:6629187:6631216,Downtown,11275,6631216,0
3-SQU,3132,2460304:6629215:6631055,Valleycliffe,11146,6631055,1
1-SQU,3201,2460347:6629223:6631170,Brackendale,11233,6631170,1
1-SQU,3211,2460347:6629223:6631235,Brackendale,11233,6631235,1
2-SQU,3253,2458881:6629229:6631169,Downtown,11257,6631169,0
9-SQU,3132,2460325:6629238:6631055,University,25287,6631055,1
2-SQU,2375,2458800:6629257:6631072,Highlands - Via University,25269,6631072,1
9-SQU,3132,2460277:6629260:6631055,University,25287,6631055,1
1-SQU,2375,2458850:6629265:6631065,Brackendale,11233,6631065,1
1-SQU,3132,2460323:6629289:6631055,Brackendale,25229,6631055,1
2-SQU,3132,2460233:6629303:6631050,Highlands,11175,6631050,1
2-SQU,2375,2458849:6629327:6631072,Highlands - Via University,25269,6631072,1
3-SQU,3253,2458876:6629332:6631131,Valleycliffe,11146,6631131,1
2-SQU,3253,2458926:6629335:6631082,Downtown,11257,6631082,0
3-SQU,3132,2460268:6629370:6631246,Valleycliffe,11146,6631246,1
1-SQU,3132,2460300:6629381:6631055,Brackendale,11233,6631055,1
2-SQU,3132,2460315:6629383:6631229,Downtown,11257,6631229,0
