,stop_code,stop_name,stop_lat,stop_lon,geometry
849,140154,Parkinson Rd at Pettman Rd,49.89593,-119.54971,POINT (-119.54971 49.89593)
850,103066,Parkinson Rd at Bear Creek Rd,49.89893,-119.54703,POINT (-119.54703 49.89893)
851,140155,Bear Creek Rd at Vancouver Rd,49.89527,-119.54744,POINT (-119.54744 49.89527)
852,103043,Westside Rd at Bear Creek Rd,49.89228,-119.54262,POINT (-119.54262 49.89228)
853,103047,Westside Rd at Westpoint Park,49.88551,-119.54411,POINT (-119.54411 49.88551)
854,103027,Westside Rd at Nancee Way,49.88307,-119.53813,POINT (-119.53813 49.88307)
855,140013,Sneena Rd at Westside Rd,49.88071,-119.5341,POINT (-119.5341 49.88071)
856,103078,Boucherie Rd at Hayman Rd,49.87266,-119.5447,POINT (-119.5447 49.87266)
857,103162,Boucherie Rd at Stuart Rd,49.86412,-119.5551,POINT (-119.5551 49.86412)
858,140092,Bottom Wood Lake Rd at Powley Crt,50.0383,-119.40293,POINT (-119.40293 50.0383)
859,140091,Bottom Wood Lake Rd at Mayrus Rd,50.04335,-119.40297,POINT (-119.40297 50.04335)
860,140090,Bottom Wood Lake Rd at Wageman Rd,50.04629,-119.40299,POINT (-119.40299 50.04629)
861,140096,Lake Hill Dr at Oceola Rd,50.06138,-119.41821,POINT (-119.41821 50.06138)
862,140080,Lake Hill Dr at Lake Breeze Crt,50.06598,-119.41901,POINT (-119.41901 50.06598)
863,140082,Shoreline Way at Lake Hill Dr,50.07352,-119.41726,POINT (-119.41726 50.07352)
864,140083,Lake Hill Dr at Shoreline Way,50.07171,-119.41646,POINT (-119.41646 50.07171)
865,140084,Stillwater Way at Lake Hill Dr,50.06954,-119.41854,POINT (-119.41854 50.06954)
866,140085,Shoreline Dr at Driftwood Crt,50.06784,-119.41929,POINT (-119.41929 50.06784)
867,140086,Lake Hill Dr at Lake Breeze Crt,50.06626,-119.41895,POINT (-119.41895 50.06626)
868,140087,Lake Hill Dr at Oceola Rd,50.06129,-119.41834,POINT (-119.41834 50.06129)
869,140088,Oceola Rd at Pretty Rd,50.0547,-119.41142,POINT (-119.41142 50.0547)
870,140089,Woodsdale Rd at Turtle Bay Crt,50.04925,-119.40761,POINT (-119.40761 50.04925)
871,140054,Woodsdale Rd at Bottom Wood Lake Rd,50.04924,-119.404,POINT (-119.404 50.04924)
872,140079,Bottom Wood Lake Rd at Wageman Rd,50.04597,-119.40312,POINT (-119.40312 50.04597)
873,140078,Bottom Wood Lake Rd at Mayrus Rd,50.04311,-119.4031,POINT (-119.4031 50.04311)
874,140077,Bottom Wood Lake Rd at Powley Crt,50.03782,-119.40308,POINT (-119.40308 50.03782)
875,140093,Bottom Wood Lake Rd at Berry Rd,50.03032,-119.40192,POINT (-119.40192 50.03032)
876,140014,Bottom Wood Lake Rd at Konschuh Rd,50.02872,-119.40067,POINT (-119.40067 50.02872)
877,140015,Bottom Wood Lake Rd at Seniors Centre,50.02447,-119.39926,POINT (-119.39926 50.02447)
878,140016,Beaver Lake Rd at Jensen Rd,50.02018,-119.40119,POINT (-119.40119 50.02018)
879,140017,Main St at Hill Rd,50.02083,-119.40426,POINT (-119.40426 50.02083)
880,140180,Bartley Rd at Byland Rd,49.86302,-119.58757,POINT (-119.58757 49.86302)
881,140210,Shannon Lake Rd at Crystal Dr,49.86869,-119.59306,POINT (-119.59306 49.86869)
882,140212,Shannon Lake Rd at Shannon Woods Dr,49.86578,-119.60611,POINT (-119.60611 49.86578)
883,140191,Shannon Lake Rd at Tallus Ridge Dr,49.86323,-119.612,POINT (-119.612 49.86323)
884,140205,Shannon Lake Rd at Canyon Crest Dr,49.85825,-119.61694,POINT (-119.61694 49.85825)
885,140204,Shannon Lake Rd at Alexandria Way,49.85515,-119.61803,POINT (-119.61803 49.85515)
886,140206,Shannon Lake Rd at Asquith Rd,49.85159,-119.61851,POINT (-119.61851 49.85159)
887,140058,Asquith Rd at Saddleback Way,49.8507,-119.62354,POINT (-119.62354 49.8507)
888,140059,Ironridge Rd at Ironridge Pl,49.8545,-119.62783,POINT (-119.62783 49.8545)
889,140060,Wild Horse Dr at Bridlehill Dr East Side,49.85388,-119.63302,POINT (-119.63302 49.85388)
890,140061,Wild Horse Dr at Bridlehill Dr West Side,49.85346,-119.63555,POINT (-119.63555 49.85346)
891,140062,Whispering Hills Dr at Wild Horse Dr,49.85228,-119.64166,POINT (-119.64166 49.85228)
892,140063,Copper Ridge Dr at Smith Creek Rd,49.85389,-119.64384,POINT (-119.64384 49.85389)
