,stop_code,stop_name,stop_lat,stop_lon,geometry
1009,101107,McKenzie Ave at Vikes Way,48.46896,-123.31225,POINT (-123.31225 48.46896)
1010,101108,Feltham Rd at Larchwood Dr,48.47596,-123.32802,POINT (-123.32802 48.47596)
1011,101110,Laval Ave at Mount Douglas Secondary,48.47219,-123.31767,POINT (-123.31767 48.47219)
1012,101113,Laval Ave at Mount Douglas Secondary,48.47231,-123.31707,POINT (-123.31707 48.47231)
1013,101116,College Rd at Thetis Cres,48.43671,-123.46123,POINT (-123.46123 48.43671)
1014,101117,Cadboro Bay Rd at Sinclair Rd,48.46087,-123.29791,POINT (-123.29791 48.46087)
1015,101118,3900 Blk Holland Ave,48.47293,-123.42239,POINT (-123.42239 48.47293)
1016,101119,Victoria General Hospital,48.46623,-123.43502,POINT (-123.43502 48.46623)
1017,101120,Glanford Ave at Vanalman Ave,48.48233,-123.38987,POINT (-123.38987 48.48233)
1018,101122,Cedar Hill Rd at Cedarglen Rd,48.48011,-123.33992,POINT (-123.33992 48.48011)
1019,101123,Feltham Rd at Cabot Pl,48.47598,-123.32525,POINT (-123.32525 48.47598)
1020,101124,3900 Blk Holland Ave,48.47291,-123.42219,POINT (-123.42219 48.47291)
1021,101125,Belmont Rd at College Rd,48.43726,-123.46187,POINT (-123.46187 48.43726)
1022,101126,Cadboro Bay Rd at Sinclair Rd,48.46137,-123.29689,POINT (-123.29689 48.46137)
1023,101127,Langford Pky at Attree Ave,48.44318,-123.50795,POINT (-123.50795 48.44318)
1024,101128,Glanford Ave at Vanalman Ave,48.48252,-123.38999,POINT (-123.38999 48.48252)
1025,101129,Gordon Head Rd at Laval Ave,48.47254,-123.31525,POINT (-123.31525 48.47254)
1026,101130,Shelbourne St at Cedarglen Rd,48.47958,-123.33544,POINT (-123.33544 48.47958)
1027,101131,Cedar Hill Rd at Cedarglen Rd,48.48082,-123.33953,POINT (-123.33953 48.48082)
1028,101132,Island Hwy at Prince Robert Dr,48.45923,-123.44537,POINT (-123.44537 48.45923)
1029,101133,Interurban Rd at Wilkinson Rd,48.47769,-123.41025,POINT (-123.41025 48.47769)
1030,101134,Ridgebank Cres at Oakridge Cres,48.48108,-123.39899,POINT (-123.39899 48.48108)
1031,101135,Island Hwy at Burnett Rd,48.45926,-123.44513,POINT (-123.44513 48.45926)
1032,101136,Interurban Rd at Wilkinson Rd,48.47725,-123.40971,POINT (-123.40971 48.47725)
1033,101137,Feltham Rd at Tyndall Ave,48.4761,-123.32366,POINT (-123.32366 48.4761)
1034,101138,Ridgebank Cres at Springridge Cres,48.48138,-123.39899,POINT (-123.39899 48.48138)
1035,101139,Shelbourne St at Cedarglen Rd,48.4801,-123.33561,POINT (-123.33561 48.4801)
1036,101140,Quadra St at Caen Rd,48.48405,-123.38029,POINT (-123.38029 48.48405)
1037,101141,Watkiss Way at Erskine Lane,48.46609,-123.43808,POINT (-123.43808 48.46609)
1038,101142,Hastings St at Interurban Rd,48.47845,-123.41171,POINT (-123.41171 48.47845)
1039,101143,Watkiss Way at Hospital Way,48.46692,-123.43632,POINT (-123.43632 48.46692)
1040,101144,Hastings St at Wilkinson Rd,48.4783,-123.41156,POINT (-123.41156 48.4783)
1041,101145,Watkiss Way at Hospital Way,48.46768,-123.43601,POINT (-123.43601 48.46768)
1042,101146,Quadra St at Caen Rd,48.48449,-123.38056,POINT (-123.38056 48.48449)
1043,101147,Watkiss Way at Stoneridge Dr,48.4662,-123.43816,POINT (-123.43816 48.4662)
1044,101148,Holland Ave at Blue Ridge Rd,48.47485,-123.42202,POINT (-123.42202 48.47485)
1045,101149,Tyndall Ave at Feltham Rd,48.47677,-123.32296,POINT (-123.32296 48.47677)
1046,101150,Holland Ave at Blue Ridge Rd,48.47541,-123.42174,POINT (-123.42174 48.47541)
1047,101151,Cadboro Bay Rd at Maynard St,48.46185,-123.29489,POINT (-123.29489 48.46185)
1048,101152,Cadboro Bay Rd at Maynard St,48.46195,-123.29512,POINT (-123.29512 48.46195)
1049,101153,Gordon Head Rd at Fairburn Dr,48.47373,-123.3141,POINT (-123.3141 48.47373)
1050,101154,Finnerty Rd at Edgelow St,48.46906,-123.3053,POINT (-123.3053 48.46906)
1051,101155,Interurban Rd at Dunsterville Ave,48.47925,-123.41144,POINT (-123.41144 48.47925)
1052,101156,Watkiss Way at Talcott Rd,48.46483,-123.44168,POINT (-123.44168 48.46483)
1053,101157,Finnerty Rd at Edgelow St,48.46936,-123.30469,POINT (-123.30469 48.46936)
1054,101158,Interurban Rd at Dunsterville Ave,48.4797,-123.4116,POINT (-123.4116 48.4797)
1055,101159,Glanford Ave at Lodi Ave,48.48458,-123.38889,POINT (-123.38889 48.48458)
1056,101160,Shelbourne St at Arbordale Ave,48.48175,-123.33656,POINT (-123.33656 48.48175)
1057,101161,Vanalman Ave at Ridgebank Cres,48.48334,-123.39636,POINT (-123.39636 48.48334)
1058,101162,Vanalman Ave at Ridgebank Cres,48.48322,-123.3965,POINT (-123.3965 48.48322)
1059,101163,Watkiss Way at Talcott Rd,48.46462,-123.44391,POINT (-123.44391 48.46462)
1060,101164,Quadra St at Chatterton Way,48.48528,-123.38181,POINT (-123.38181 48.48528)
1061,101165,Glanford Ave at Enterprise Cres,48.48463,-123.38865,POINT (-123.38865 48.48463)
1062,101166,Quadra St at Chatterton Way,48.48576,-123.38213,POINT (-123.38213 48.48576)
1063,101167,Cadboro Bay Rd at Cherrilee Cres,48.46102,-123.29195,POINT (-123.29195 48.46102)
1064,101168,Shelbourne St at Arbordale Ave,48.48233,-123.33643,POINT (-123.33643 48.48233)
1065,101169,Cadboro Bay Rd at Cherrilee Cres,48.46158,-123.29275,POINT (-123.29275 48.46158)
1066,101170,Tyndall Ave at San Pedro Ave,48.4783,-123.32313,POINT (-123.32313 48.4783)
1067,101171,Hastings St at Santa Anita Ave,48.4792,-123.41539,POINT (-123.41539 48.4792)
1068,101173,Belmont Rd at Egerton Cres,48.43881,-123.46555,POINT (-123.46555 48.43881)
1069,101174,Gordon Head Rd at Ventura Way,48.47452,-123.31297,POINT (-123.31297 48.47452)
1070,101175,4000 Blk Holland Ave,48.47718,-123.4216,POINT (-123.4216 48.47718)
1071,101177,Langford Pky at Phipps Rd,48.44223,-123.50389,POINT (-123.50389 48.44223)
1072,101178,West Shore Pky at Bombardier Cres,48.44411,-123.53669,POINT (-123.53669 48.44411)
1073,101179,4000 Blk Holland Ave,48.47716,-123.42142,POINT (-123.42142 48.47716)
1074,101181,Cedar Hill Rd at Kenmore Rd,48.48356,-123.33933,POINT (-123.33933 48.48356)
1075,101182,Island Hwy at Kislingbury Lane,48.4602,-123.45033,POINT (-123.45033 48.4602)
1076,101183,Island Hwy at Knollwood Rd,48.45974,-123.44919,POINT (-123.44919 48.45974)
1077,101184,West Shore Pky at Bombardier Cres,48.4437,-123.53635,POINT (-123.53635 48.4437)
1078,101185,West Shore Pky at Commander Crt,48.44209,-123.53555,POINT (-123.53555 48.44209)
1079,101186,Cadboro Bay Rd at Dawe Rd,48.45982,-123.28891,POINT (-123.28891 48.45982)
1080,101187,Cedar Hill Rd at Kenmore Rd,48.48377,-123.33911,POINT (-123.33911 48.48377)
1081,101188,Emily Carr Dr at Maltwood Terr,48.48691,-123.38109,POINT (-123.38109 48.48691)
1082,101189,Hastings St at Auldfarm Lane,48.47942,-123.41784,POINT (-123.41784 48.47942)
